timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temperature_c
2,0.2800,-0.0410,1.0305,41.3282,8.2901,-1.1069,41.94
13,0.3298,-0.1404,1.0950,138.2748,29.3053,-5.9618,41.99
24,0.2175,-0.0413,1.1360,250.1298,69.2061,-7.1908,41.75
35,0.0195,-0.1580,1.1548,250.1298,119.2214,-9.1221,41.71
46,0.0229,-0.0725,1.0710,250.1298,148.9008,-39.0992,41.94
57,-0.0059,-0.0649,0.8738,250.1298,169.8473,-81.6947,42.08
68,0.2036,0.3643,0.6772,250.1298,102.4657,-65.8702,41.89
79,0.2209,0.5972,0.5159,250.1298,63.7328,-37.3588,41.89
90,0.5002,1.0051,0.1467,250.1298,39.0076,-9.7786,41.94
101,0.2732,0.9905,0.0186,28.4733,-37.1298,-35.5725,41.80
112,-0.0398,1.4973,0.0129,-250.1374,-129.9847,-14.3817,41.71
123,0.0183,1.0808,0.0996,-250.1374,-250.1374,104.2977,41.71
134,0.1226,0.5183,0.0825,-250.1374,-250.1374,210.8473,41.80
145,0.2266,-0.0286,0.1023,-250.1374,-250.1374,195.7023,41.99
156,-0.6377,0.6802,1.9999,-220.4504,250.1298,81.8168,41.89
167,0.1692,0.6394,1.9999,250.1298,-224.4656,-67.9924,41.89
178,0.2117,0.5867,1.0564,-228.3893,-195.0153,17.5725,41.71
189,0.3228,1.0298,1.9999,120.6260,114.9313,-104.5420,41.61
200,0.1812,-0.0054,0.5552,202.3206,192.5725,-103.9466,41.71
211,-0.0132,0.4741,0.7817,-250.1374,-17.0458,8.0000,41.99
222,1.6025,-0.1582,1.9999,-201.3359,172.5954,-12.2137,41.57
233,0.1113,0.3479,0.4473,-30.3206,-53.1679,3.8473,41.94
245,0.4104,-0.1252,1.9999,89.3359,-27.7863,3.0611,41.80
256,0.1614,0.2678,0.7349,-27.6031,-41.1374,23.0382,41.75
267,0.2620,0.0745,0.8975,3.3969,-15.4198,25.5496,41.99
278,0.3474,-0.0879,0.9133,6.3206,16.8702,12.9008,41.89
289,0.3076,-0.0410,0.9709,-0.3130,11.7176,-8.9695,41.71
300,0.2942,0.0151,0.9636,-2.6489,8.0229,-15.7710,41.89
311,0.2852,0.0432,0.9521,-0.3588,12.4427,-8.9466,41.47
322,0.2722,0.0349,1.0034,2.2443,4.2214,0.1069,41.99
333,0.2935,-0.0085,0.9590,1.8168,-2.4275,-1.0458,41.99
344,0.2930,0.0144,0.9500,2.0916,-0.9237,-0.2366,41.89
355,0.2888,0.0085,0.9556,1.9618,-0.0840,-0.2214,41.71
